#;$id;libellé SEDA 2;libellé anglais
;;nby;Ningera
;;wrm;Warumungu
;;cmr;Mro Chin
;;jak;Jakun
;;svk;Slovakian Sign Language
;;kuu;Upper Kuskokwim
;;scq;Sa'och
;;mep;Miriwung
;;yui;Yurutí
;;ntp;Northern Tepehuan
;;tmr;Jewish Babylonian Aramaic (ca. 200-1200 CE)
;;shj;Shatt
;;ett;Etruscan
;;kos;Kosraean
;;env;Enwan (Edu State)
;;jbt;Jabutí
;;xlo;Loup A
;;leo;Leti (Cameroon)
;;lko;Khayo
;;zrp;Zarphatic
;;ato;Atong
;;irk;Iraqw
;;xkd;Mendalam Kayan
;;siq;Sonia
;;wux;Wulna
;;tpc;Azoyú Me'phaa
;;lbf;Tinani
;;gfk;Patpatar
;;lgu;Longgu
;;mnr;Mono (USA)
;;sld;Sissala
;;mod;Mobilian
;;gut;Maléku Jaíka
;;zpe;Petapa Zapotec
;;yaz;Lokaa
;;sim;Mende (Papua New Guinea)
;;btt;Bete-Bendi
;;dbe;Dabe
;;snc;Sinaugoro
;;aso;Dano
;;xha;Harami
;;ybl;Yukuben
;;afn;Defaka
;;ttv;Titan
;;bpv;Bian Marind
;;qxw;Jauja Wanca Quechua
;;eze;Uzekwe
;;fpe;Fernando Po Creole English
;;pcf;Paliyan
;;tnk;Kwamera
;;asv;Asoa
;;tul;Tula
;;saf;Safaliba
;;nur;Nukuria
;;sad;Sandawe
;;qvo;Napo Lowland Quechua
;;ncl;Michoacán Nahuatl
;;dpp;Papar
;;pbo;Papel
;;peh;Bonan
;;lgl;Wala
;;msp;Maritsauá
;;cea;Lower Chehalis
;;lmu;Lamenu
;;gvc;Guanano
;;aqz;Akuntsu
;;xsm;Kasem
;;tlx;Khehek
;;blp;Blablanga
;;yim;Yimchungru Naga
;;urr;Lehalurup
;;sto;Stoney
;;zgn;Guibian Zhuang
;;hla;Halia
;;yss;Yessan-Mayo
;;nqg;Southern Nago
;;bpy;Bishnupriya
;;ukg;Ukuriguma
;;omu;Omurano
;;bwh;Bishuo
;;emx;Erromintxela
;;kle;Kulung (Nepal)
;;mmh;Mehináku
;;kdx;Kam
;;lwt;Lewotobi
;;mdl;Maltese Sign Language
;;sbz;Sara Kaba
;;nho;Takuu
;;naw;Nawuri
;;thc;Tai Hang Tong
;;trc;Copala Triqui
;;tmf;Toba-Maskoy
;;akc;Mpur
;;jar;Jarawa (Nigeria)
;;khn;Khandesi
;;kki;Kagulu
;;tyj;Tai Do
;;nkd;Koireng
;;sus;Susu
;;isi;Nkem-Nkum
;;khq;Koyra Chiini Songhay
;;yuc;Yuchi
;;wma;Mawa (Nigeria)
;;swt;Sawila
;;cha;Chamorro
;;lzn;Leinong Naga
;;xpq;Mohegan-Pequot
;;bme;Limassa
;;ssz;Sengseng
;;gsl;Gusilay
;;qvz;Northern Pastaza Quichua
;;bey;Beli (Papua New Guinea)
;;cre;Cree
;;bom;Berom
;;ghl;Ghulfan
;;yav;Yangben
;;rng;Ronga
;;pst;Central Pashto
;;bim;Bimoba
;;kil;Kariya
;;dij;Dai
;;tlm;Tolomako
;;acp;Eastern Acipa
;;ndm;Ndam
;;oym;Wayampi
;;ayi;Leyigha
;;beg;Belait
;;ndx;Nduga
;;xle;Lemnian
;;pkh;Pankhu
;;nbe;Konyak Naga
;;kgf;Kube
;;ppq;Pei
;;bvt;Bati (Indonesia)
;;lsr;Aruop
;;mkn;Kupang Malay
;;ppm;Papuma
;;pai;Pe
;;jil;Jilim
;;mfd;Mendankwe-Nkwen
;;bjf;Barzani Jewish Neo-Aramaic
;;lmb;Merei
;;myi;Mina (India)
;;han;Hangaza
;;nsy;Nasal
;;cma;Maa
;;bod;Tibetan
;;ena;Apali
;;nam;Nangikurrunggurr
;;kaf;Katso
;;tli;Tlingit
;;tgv;Tingui-Boto
;;snj;Riverain Sango
;;pse;Central Malay
;;lvs;Standard Latvian
;;tuy;Tugen
;;lfn;Lingua Franca Nova
;;sdx;Sibu Melanau
;;mhp;Balinese Malay
;;wnk;Wanukaka
;;bki;Baki
;;mkx;Kinamiging Manobo
;;bkn;Bukitan
;;piw;Pimbwe
;;wly;Waling
;;eno;Enggano
;;xxt;Tambora
;;lus;Lushai
;;rwm;Amba (Uganda)
;;axk;Yaka (Central African Republic)
;;kie;Kibet
;;abg;Abaga
;;wci;Waci Gbe
;;sls;Singapore Sign Language
;;war;Waray (Philippines)
;;tbv;Tobo
;;mui;Musi
;;aaf;Aranadan
;;pig;Pisabo
;;mzm;Mumuye
;;wlr;Wailapa
;;oor;Oorlams
;;fli;Fali
;;xkv;Kgalagadi
;;gae;Guarequena
;;huy;Hulaulá
;;tcp;Tawr Chin
;;cwe;Kwere
;;kjo;Harijan Kinnauri
;;abq;Abaza
;;kpx;Mountain Koiali
;;yia;Yinggarda
;;gga;Gao
;;ile;Interlingue
;;kka;Kakanda
;;tat;Tatar
;;leu;Kara (Papua New Guinea)
;;lip;Sekpele
;;mfv;Mandjak
;;miy;Ayutla Mixtec
;;atb;Zaiwa
;;att;Pamplona Atta
;;ulc;Ulch
;;goh;Old High German (ca. 750-1050)
;;gru;Kistane
;;pmm;Pomo
;;wtm;Mewati
;;bwa;Bwatoo
;;knb;Lubuagan Kalinga
;;lht;Lo-Toga
;;ruh;Ruga
;;wea;Wewaw
;;phd;Phudagi
;;gmy;Mycenaean Greek
;;grn;Guarani
;;plz;Paluan
;;bfe;Betaf
;;sbu;Stod Bhoti
;;hdy;Hadiyya
;;uok;Uokha
;;tsx;Mubami
;;aht;Ahtena
;;dav;Taita
;;ell;Modern Greek (1453-)
;;tuo;Tucano
;;plq;Palaic
;;ccg;Samba Daka
;;tcg;Tamagario
;;hoy;Holiya
;;ibi;Ibilo
;;mhd;Mbugu
;;aeu;Akeu
;;pht;Phu Thai
;;trr;Taushiro
;;lah;Lahnda
;;zms;Mbesa
;;bag;Tuki
;;igm;Kanggape
;;okn;Oki-No-Erabu
;;byz;Banaro
;;cdr;Cinda-Regi-Tiyal
;;tsg;Tausug
;;pdn;Podena
;;buv;Bun
;;dyd;Dyugun
;;twp;Ere
;;jda;Jad
;;faf;Fagani
;;zsu;Sukurum
;;xag;Aghwan
;;itz;Itzá
;;tmc;Tumak
;;oua;Tagargrent
;;hwc;Hawai'i Creole English
;;kye;Krache
;;evn;Evenki
;;zdj;Ngazidja Comorian
;;tnt;Tontemboan
;;shv;Shehri
;;pbf;Coyotepec Popoloca
;;kzu;Kayupulau
;;acz;Acheron
;;shc;Sonde
;;kwy;San Salvador Kongo
;;yha;Baha Buyang
;;vmg;Minigir
;;csi;Coast Miwok
;;pip;Pero
;;bdt;Bokoto
;;kcl;Kela (Papua New Guinea)
;;for;Fore
;;pbt;Southern Pashto
;;buk;Bugawac
;;gan;Gan Chinese
;;mvt;Mpotovoro
;;khx;Kanu
;;sfw;Sehwi
;;ptn;Patani
;;dym;Yanda Dom Dogon
;;yrw;Yarawata
;;hur;Halkomelem
;;ssr;Swiss-French Sign Language
;;aun;Molmo One
;;kfv;Kurmukar
;;ngv;Nagumi
;;crq;Iyo'wujwa Chorote
;;kuw;Kpagua
;;ypg;Phola
;;ypa;Phala
;;ymm;Maay
;;aon;Bumbita Arapesh
;;fuv;Nigerian Fulfulde
;;ypn;Ani Phowa
;;pha;Pa-Hng
;;atx;Arutani
;;ood;Tohono O'odham
;;cnh;Haka Chin
;;iki;Iko
;;tvl;Tuvalu
;;kzn;Kokola
;;psp;Philippine Sign Language
;;mqc;Mangole
;;kfn;Kuk
;;hps;Hawai'i Pidgin Sign Language
;;gry;Barclayville Grebo
;;gwd;Gawwada
;;toj;Tojolabal
;;gji;Geji
;;xrr;Raetic
;;mvq;Moere
;;orw;Oro Win
;;taf;Tapirapé
;;mbx;Mari (East Sepik Province)
;;scl;Shina
;;ysd;Samatao
;;bsg;Bashkardi
;;spl;Selepet
;;nnl;Northern Rengma Naga
;;byd;Benyadu'
;;hah;Hahon
;;buy;Bullom So
;;lun;Lunda
;;mda;Mada (Nigeria)
;;sik;Sikiana
;;ysy;Sanie
;;kor;Korean
;;weh;Weh
;;sxn;Sangir
;;app;Apma
;;nya;Nyanja
;;wit;Wintu
;;kef;Kpessi
;;mwy;Mosiro
;;lai;Lambya
;;gmm;Gbaya-Mbodomo
;;okd;Okodia
;;bxx;Borna (Democratic Republic of Congo)
;;jma;Dima
;;kdr;Karaim
;;onk;Kabore One
;;sux;Sumerian
;;ndo;Ndonga
;;alq;Algonquin
;;hal;Halang
;;wja;Waja
;;dir;Dirim
;;stg;Trieng
;;srq;Sirionó
;;zat;Tabaa Zapotec
;;blf;Buol
;;ahm;Mobumrin Aizi
;;dji;Djinang
;;lug;Ganda
;;ypz;Phuza
;;tba;Aikanã
;;krz;Sota Kanum
;;mmg;North Ambrym
;;tua;Wiarumus
;;bkf;Beeke
;;igl;Igala
;;das;Daho-Doo
;;ugo;Ugong
;;ttg;Tutong
;;mik;Mikasuki
;;pch;Pardhan
;;gli;Guliguli
;;ksp;Kaba
;;ajw;Ajawa
;;oci;Occitan (post 1500)
;;anu;Anuak
;;tic;Tira
;;bly;Notre
;;mgz;Mbugwe
;;loy;Lowa
;;syl;Sylheti
;;iou;Tuma-Irumu
;;qvi;Imbabura Highland Quichua
;;ihp;Iha
;;fni;Fania
;;seq;Senara Sénoufo
;;ikv;Iku-Gora-Ankwa
;;ksx;Kedang
;;heg;Helong
;;nbv;Ngamambo
;;aah;Abu' Arapesh
;;cro;Crow
;;gce;Galice
;;kdk;Numee
;;kmf;Kare (Papua New Guinea)
;;dem;Dem
;;tgc;Tigak
;;xrn;Arin
;;cdj;Churahi
;;goi;Gobasi
;;ghs;Guhu-Samane
;;xte;Ketengban
;;wes;Cameroon Pidgin
;;dtu;Tebul Ure Dogon
;;cli;Chakali
;;omo;Utarmbung
;;ggw;Gogodala
;;vgr;Vaghri
;;svb;Ulau-Suain
;;isn;Isanzu
;;tcz;Thado Chin
;;bjn;Banjar
;;dei;Demisa
;;rga;Roria
;;jgo;Ngomba
;;lor;Téén
;;uku;Ukue
;;qum;Sipacapense
;;sky;Sikaiana
;;pok;Pokangá
;;mmt;Malalamai
;;mzk;Nigeria Mambila
;;kmq;Kwama
;;boz;Tiéyaxo Bozo
;;bka;Kyak
;;xly;Elymian
;;isg;Irish Sign Language
;;nto;Ntomba
;;dml;Dameli
;;nit;Southeastern Kolami
;;bzw;Basa (Nigeria)
;;aic;Ainbai
;;gly;Gule
;;dbb;Deno
;;rer;Rer Bare
;;ahg;Qimant
;;cce;Chopi
;;dka;Dakpakha
;;yme;Yameo
;;nns;Ningye
;;pye;Pye Krumen
;;gaw;Nobonob
;;dov;Dombe
;;idr;Indri
;;mcy;South Watut
;;brn;Boruca
;;ncm;Nambo
;;aiy;Ali
;;dgi;Northern Dagara
;;nye;Nyengo
;;kkx;Kohin
;;ctn;Chhintange
;;ziz;Zizilivakan
;;trf;Trinidadian Creole English
;;cja;Western Cham
;;pio;Piapoco
;;kns;Kensiu
;;inj;Jungle Inga
;;dgk;Dagba
;;bbu;Kulung (Nigeria)
;;ole;Olekha
;;mgf;Maklew
;;wbv;Wajarri
;;bfg;Busang Kayan
;;sos;Seeku
;;bnn;Bunun
;;qux;Yauyos Quechua
;;dgr;Dogrib
;;sri;Siriano
;;huk;Hulung
;;vmf;Mainfränkisch
;;hop;Hopi
;;pah;Tenharim
;;chr;Cherokee
;;zkg;Koguryo
;;ago;Tainae
;;acn;Achang
;;agj;Argobba
;;ryn;Northern Amami-Oshima
;;uuu;U
;;bgw;Bhatri
;;ait;Arikem
;;tio;Teop
;;bds;Burunge
;;ibg;Ibanag
;;orm;Oromo
;;foi;Foi
;;tmk;Northwestern Tamang
;;sgu;Salas
;;paq;Parya
;;kcr;Katla
;;mbi;Ilianen Manobo
;;bis;Bislama
;;kqa;Mum
;;nig;Ngalakan
;;lbe;Lak
;;xsj;Subi
;;phv;Pahlavani
;;sjk;Kemi Sami
;;txa;Tombonuo
;;sqi;Albanian
;;gdc;Gugu Badhun
;;rma;Rama
;;nxq;Naxi
;;zmc;Margany
;;eke;Ekit
;;kcz;Konongo
;;nup;Nupe-Nupe-Tako
;;hmq;Eastern Qiandong Miao
;;kbo;Keliko
;;asx;Muratayak
;;zlj;Liujiang Zhuang
;;mag;Magahi
;;skf;Sakirabiá
;;slr;Salar
;;pku;Paku
;;bdq;Bahnar
;;tdx;Tandroy-Mahafaly Malagasy
;;byx;Qaqet
;;ksg;Kusaghe
;;jbu;Jukun Takum
;;kwt;Kwesten
;;log;Logo
;;lhm;Lhomi
;;mkd;Macedonian
;;xga;Galatian
;;xbo;Bolgarian
;;cuk;San Blas Kuna
;;wor;Woria
;;lar;Larteh
;;pow;San Felipe Otlaltepec Popoloca
;;bng;Benga
;;tkx;Tangko
;;tfo;Tefaro
;;mys;Mesmes
;;ina;Interlingua (International Auxiliary Language Association)
;;xcn;Cotoname
;;qub;Huallaga Huánuco Quechua
;;bzf;Boikin
;;cuo;Cumanagoto
;;zmh;Makolkol
;;dtb;Labuk-Kinabatangan Kadazan
;;gou;Gavar
;;zpv;Chichicapan Zapotec
;;mrq;North Marquesan
;;dyi;Djimini Senoufo
;;kug;Kupa
;;llu;Lau
;;sje;Pite Sami
;;gej;Gen
;;kcy;Korandje
;;bxj;Bayungu
;;tiz;Tai Hongjin
;;ady;Adyghe
;;bru;Eastern Bru
;;mos;Mossi
;;bmo;Bambalang
;;kuz;Kunza
;;ket;Ket
;;gdj;Gurdjar
;;kwq;Kwak
;;rmy;Vlax Romani
;;jna;Jangshung
;;klh;Weliki
;;gue;Gurinji
;;xnn;Northern Kankanay
;;ots;Estado de México Otomi
;;mjg;Tu
;;klo;Kapya
;;xtw;Tawandê
;;pcw;Pyapun
;;aly;Alyawarr
;;pnb;Western Panjabi
;;ksf;Bafia
;;efa;Efai
;;prd;Parsi-Dari
;;dox;Bussa
;;wmt;Walmajarri
;;baj;Barakai
;;cjh;Upper Chehalis
;;rai;Ramoaaina
;;agx;Aghul
;;mfi;Wandala
;;toy;Topoiyo
;;dii;Dimbong
;;cyb;Cayubaba
;;xsc;Scythian
;;bmz;Baramu
;;odk;Od
;;ggb;Gbii
;;kzd;Kadai
;;nyo;Nyoro
;;koa;Konomala
;;hbu;Habu
;;xme;Median
;;cnu;Chenoua
;;kdc;Kutu
;;apb;Sa'a
;;kzh;Kenuzi-Dongola
;;fue;Borgu Fulfulde
;;kao;Xaasongaxango
;;tnv;Tangchangya
;;kve;Kalabakan
;;shh;Shoshoni
;;tuj;Tugutil
;;opk;Kopkaka
;;rel;Rendille
;;tyh;O'du
;;poy;Pogolo
;;bbc;Batak Toba
;;kjx;Ramopa
;;nst;Tase Naga
;;lad;Ladino
;;xas;Kamas
;;yay;Agwagwune
;;tob;Toba
;;ayb;Ayizo Gbe
;;tqq;Tunni
;;ngh;N/u
;;kaa;Kara-Kalpak
;;fin;Finnish
;;ndh;Ndali
;;bqt;Bamukumbit
;;lln;Lele (Chad)
;;bae;Baré
;;pui;Puinave
;;kvn;Border Kuna
;;aut;Austral
;;cnc;Côông
;;nkz;Nkari
;;aec;Saidi Arabic
;;dah;Gwahatike
;;ptt;Enrekang
;;igs;Interglossa
;;dsl;Danish Sign Language
;;gnk;//Gana
;;mjr;Malavedan
;;mjp;Malapandaram
;;ggg;Gurgula
;;mzr;Marúbo
;;nsk;Naskapi
;;kyu;Western Kayah
;;run;Rundi
;;snr;Sihan
;;nea;Eastern Ngad'a
;;mrx;Maremgi
;;mon;Mongolian
;;dua;Duala
;;emp;Northern Emberá
;;rgs;Southern Roglai
;;plo;Oluta Popoluca
;;gyn;Guyanese Creole English
;;pmh;Māhārāṣṭri Prākrit
;;liu;Logorik
;;ssl;Western Sisaala
;;nys;Nyunga
;;mia;Miami
;;lin;Lingala
;;nko;Nkonya
;;kbu;Kabutra
;;yng;Yango
;;dhi;Dhimal
;;kup;Kunimaipa
;;ams;Southern Amami-Oshima
;;sts;Shumashti
;;aqr;Arhâ
;;urk;Urak Lawoi'
;;drs;Gedeo
;;duz;Duli
;;xms;Moroccan Sign Language
;;mtk;Mbe'
;;jiq;Guanyinqiao
;;tsj;Tshangla
;;lei;Lemio
;;mnn;Southern Mnong
;;uur;Ura (Vanuatu)
;;wrr;Wardaman
;;bny;Bintulu
;;bfr;Bazigar
;;sjl;Sajalong
;;erk;South Efate
;;nwr;Nawaru
;;nka;Nkoya
;;mpd;Machinere
;;bvg;Bonkeng
;;jml;Jumli
;;puw;Puluwatese
;;sbc;Kele (Papua New Guinea)
;;med;Melpa
;;sas;Sasak
;;nen;Nengone
;;bqg;Bago-Kusuntu
;;frp;Arpitan
;;rnd;Ruund
;;zai;Isthmus Zapotec
;;dcc;Deccan
;;gbi;Galela
;;gex;Garre
;;yei;Yeni
;;agy;Southern Alta
;;xky;Uma' Lasan
;;soh;Aka
;;neo;Ná-Meo
;;byq;Basay
;;siy;Sivandi
;;sgz;Sursurunga
;;kem;Kemak
;;ldo;Loo
;;glr;Glaro-Twabo
;;tsm;Turkish Sign Language
;;qvw;Huaylla Wanca Quechua
;;lgg;Lugbara
;;xlg;Ligurian (Ancient)
;;spu;Sapuan
;;gad;Gaddang
;;tei;Torricelli
;;pwn;Paiwan
;;sny;Saniyo-Hiyewe
;;cia;Cia-Cia
;;lcf;Lubu
;;mek;Mekeo
;;yww;Yawarawarga
;;lez;Lezghian
;;urd;Urdu
;;bsw;Baiso
;;der;Deori
;;qvp;Pacaraos Quechua
;;mxs;Huitepec Mixtec
;;mvf;Peripheral Mongolian
;;ire;Iresim
;;ssu;Susuami
;;mqr;Mander
;;stu;Samtao
;;mtp;Wichí Lhamtés Nocten
;;mhw;Mbukushu
;;ikl;Ikulu
;;teh;Tehuelche
;;bcd;North Babar
;;wbq;Waddar
;;ktl;Koroshi
;;kxb;Krobu
;;byk;Biao
;;jbn;Nafusi
;;gir;Red Gelao
;;yby;Yaweyuha
;;lcp;Western Lawa
;;pmo;Pom
;;njt;Ndyuka-Trio Pidgin
;;dkr;Kuijau
;;hau;Hausa
;;bty;Bobot
;;kzz;Kalabra
;;lwl;Eastern Lawa
;;zmz;Mbandja
;;ulf;Usku
;;kxz;Kerewo
;;nee;Nêlêmwa-Nixumwak
;;mtw;Southern Binukidnon
;;mjy;Mahican
;;zpj;Quiavicuzas Zapotec
;;sme;Northern Sami
;;gww;Kwini
;;lbr;Northern Lorung
;;byj;Bina (Nigeria)
;;dde;Doondo
;;are;Western Arrarnta
;;umn;Makyan Naga
;;bwo;Boro (Ethiopia)
;;mcf;Matsés
;;git;Gitxsan
;;mbd;Dibabawon Manobo
;;wya;Wyandot
;;uhn;Damal
;;tha;Thai
;;ztt;Tejalapan Zapotec
;;bxc;Molengue
;;aga;Aguano
;;mti;Maiwa (Papua New Guinea)
;;gyf;Gungabula
;;bos;Bosnian
;;flr;Fuliiru
;;ins;Indian Sign Language
;;jeu;Jonkor Bourmataguil
;;mot;Barí
;;akw;Akwa
;;dse;Dutch Sign Language
;;lre;Laurentian
;;myj;Mangayat
;;otu;Otuke
;;fra;French
;;kdy;Keder
;;bcu;Awad Bing
;;kkq;Kaiku
;;ulm;Ulumanda'
;;pni;Aoheng
;;kbf;Kakauhua
;;sog;Sogdian
;;eko;Koti
;;yzk;Zokhuo
;;mlk;Ilwana
;;gog;Gogo
;;fit;Tornedalen Finnish
;;yvt;Yavitero
;;tas;Tay Boi
;;cto;Emberá-Catío
;;azb;South Azerbaijani
;;etu;Ejagham
;;bcj;Bardi
;;gus;Guinean Sign Language
;;lti;Leti (Indonesia)
;;wkw;Wakawaka
;;nax;Nakwi
;;uby;Ubykh
;;szl;Silesian
;;yoi;Yonaguni
;;tmq;Tumleo
;;slc;Sáliba
;;lkn;Lakon
;;xkg;Kagoro
;;xcw;Coahuilteco
;;imo;Imbongu
;;kfm;Khunsari
;;bax;Bamun
;;dww;Dawawa
;;fax;Fala
;;dbd;Dadiya
;;tdn;Tondano
;;ryu;Central Okinawan
;;kqj;Koromira
;;nng;Maring Naga
;;ttu;Torau
;;lwm;Laomian
;;nag;Naga Pidgin
;;knz;Kalamsé
;;trq;San Martín Itunyoso Triqui
;;hix;Hixkaryána
;;yuj;Karkar-Yuri
;;yud;Judeo-Tripolitanian Arabic
;;txs;Tonsea
;;snd;Sindhi
;;otd;Ot Danum
;;zmr;Maranunggu
;;mhq;Mandan
;;tsp;Northern Toussian
;;cuv;Cuvok
;;tuk;Turkmen
;;xtl;Tijaltepec Mixtec
;;shi;Tachelhit
;;pes;Iranian Persian
;;blo;Anii
;;asn;Xingú Asuriní
;;sip;Sikkimese
;;sil;Tumulung Sisaala
;;xsn;Sanga (Nigeria)
;;ple;Palu'e
;;una;North Watut
;;zpd;Southeastern Ixtlán Zapotec
;;bts;Batak Simalungun
;;bdy;Bandjalang
;;gam;Kandawo
;;sag;Sango
;;xln;Alanic
;;tqb;Tembé
;;dnr;Danaru
;;kym;Kpatili
;;twx;Tewe
;;klf;Kendeje
;;gop;Yeretuar
;;kkj;Kako
;;okk;Kwamtim One
;;khf;Khuen
;;khm;Central Khmer
;;kyq;Kenga
;;mlx;Malfaxal
;;smd;Sama
;;swu;Suwawa
;;xxb;Boro (Ghana)
;;ukh;Ukhwejo
;;pce;Ruching Palaung
;;par;Panamint
;;mdk;Mangbutu
;;toq;Toposa
;;umc;Marrucinian
;;sww;Sowa
;;bwi;Baniwa
;;kgt;Somyev
;;kwz;Kwadi
;;alt;Southern Altai
;;pbn;Kpasam
;;xce;Celtiberian
;;ott;Temoaya Otomi
;;vao;Vao
;;gbn;Mo'da
;;bhv;Bahau
;;ecs;Ecuadorian Sign Language
;;tcy;Tulu
;;nqo;N'Ko
;;kag;Kajaman
;;tbc;Takia
;;xpr;Parthian
;;ard;Arabana
;;kte;Nubri
;;aww;Awun
;;nla;Ngombale
;;sxs;Sasaru
;;mrb;Marino
;;lky;Lokoya
;;ymn;Yamna
;;nma;Maram Naga
;;wat;Kaninuwa
;;bgv;Warkay-Bipim
;;ojc;Central Ojibwa
;;bol;Bole
;;msc;Sankaran Maninka
;;guf;Gupapuyngu
;;kgn;Karingani
;;aml;War-Jaintia
;;kir;Kirghiz
;;kpp;Paku Karen
;;kji;Zabana
;;rmp;Rempi
;;nov;Novial
;;dbp;Duwai
;;bpq;Banda Malay
;;leg;Lengua
;;rtw;Rathawi
;;raq;Saam
;;plg;Pilagá
;;nan;Min Nan Chinese
;;yin;Yinchia
;;gnw;Western Bolivian Guaraní
;;gsg;German Sign Language
;;wir;Wiraféd
;;aba;Abé
;;dnt;Mid Grand Valley Dani
;;uan;Kuan
;;puz;Purum Naga
;;dyn;Dyangadi
;;sgr;Sangisari
;;wni;Ndzwani Comorian
;;pso;Polish Sign Language
;;lyg;Lyngngam
;;wih;Wik-Me'anha
;;ngl;Lomwe
;;apn;Apinayé
;;toz;To
;;lhl;Lahul Lohar
;;raj;Rajasthani
;;bqu;Boguru
;;pix;Piu
;;cte;Tepinapa Chinantec
;;shx;She
;;jei;Yei
;;smr;Simeulue
;;kik;Kikuyu
;;lss;Lasi
;;jal;Yalahatan
;;mkt;Vamale
;;spt;Spiti Bhoti
;;sbi;Seti
;;yux;Southern Yukaghir
;;wru;Waru
;;mev;Mann
;;tau;Upper Tanana
;;ian;Iatmul
;;emb;Embaloh
;;kvk;Korean Sign Language
;;scp;Helambu Sherpa
;;beo;Beami
;;atl;Mt. Iraya Agta
;;sgh;Shughni
;;cou;Wamey
;;dni;Lower Grand Valley Dani
;;src;Logudorese Sardinian
;;prk;Parauk
;;nji;Gudanji
;;awe;Awetí
;;lrl;Lari
;;pdo;Padoe
;;tdc;Emberá-Tadó
;;vor;Voro
;;pms;Piemontese
;;caq;Car Nicobarese
;;xnt;Narragansett
;;nyl;Nyeu
;;moe;Montagnais
;;snk;Soninke
;;pro;Old Provençal (to 1500)
;;svr;Savara
;;nnr;Narungga
;;yal;Yalunka
;;ige;Igede
;;ofu;Efutop
;;ayp;North Mesopotamian Arabic
;;wub;Wunambal
;;mpw;Mapidian
;;bsb;Brunei Bisaya
;;mqm;South Marquesan
;;ayy;Tayabas Ayta
;;qva;Ambo-Pasco Quechua
;;kpn;Kepkiriwát
;;kxs;Kangjia
;;mix;Mixtepec Mixtec
;;gbv;Gbanu
;;mpe;Majang
;;kkb;Kwerisa
;;was;Washo
;;vma;Martuyhunira
;;lup;Lumbu
;;ael;Ambele
;;kav;Katukína
;;ply;Bolyu
;;ksh;Kölsch
;;icl;Icelandic Sign Language
;;kyd;Karey
;;xpc;Pecheneg
;;two;Tswapong
;;gwc;Kalami
;;ndw;Ndobo
;;anh;Nend
;;caj;Chané
;;abt;Ambulas
;;elp;Elpaputih
;;tjs;Southern Tujia
;;cir;Tiri
;;ztn;Santa Catarina Albarradas Zapotec
;;paz;Pankararú
;;hii;Hinduri
;;tsw;Tsishingini
;;bue;Beothuk
;;hav;Havu
;;tmz;Tamanaku
;;mhe;Besisi
;;ykg;Northern Yukaghir
;;ito;Itonama
;;tvk;Southeast Ambrym
;;tbl;Tboli
;;pmn;Pam
;;kmj;Kumarbhag Paharia
;;uge;Ughele
;;tdu;Tempasuk Dusun
;;ysr;Sirenik Yupik
;;tsb;Tsamai
;;grz;Guramalum
;;hmt;Hamtai
;;jle;Ngile
;;tgd;Ciwogai
;;bff;Bofi
;;pln;Palenquero
;;bhe;Bhaya
;;asc;Casuarina Coast Asmat
;;bia;Badimaya
;;mfu;Mbwela
;;yuq;Yuqui
;;dia;Dia
;;kna;Dera (Nigeria)
;;lwa;Lwalu
;;tsi;Tsimshian
;;bul;Bulgarian
;;stl;Stellingwerfs
;;bck;Bunaba
;;ale;Aleut
;;pfa;Pááfang
;;bwb;Namosi-Naitasiri-Serua
;;xwr;Kwerba Mamberamo
;;pez;Eastern Penan
;;kru;Kurukh
;;roh;Romansh
;;nhc;Tabasco Nahuatl
;;atc;Atsahuaca
;;maq;Chiquihuitlán Mazatec
;;tji;Northern Tujia
;;pkp;Pukapuka
;;ceg;Chamacoco
;;wos;Hanga Hundi
;;waj;Waffa
;;bph;Botlikh
;;auo;Auyokawa
;;viv;Iduna
;;mbw;Maring
;;tyx;Teke-Tyee
;;orx;Oro
;;vnm;Vinmavis
;;buz;Bukwen
;;shb;Ninam
;;enw;Enwan (Akwa Ibom State)
;;grv;Central Grebo
;;wrb;Warluwara
;;sgi;Suga
;;csq;Croatia Sign Language
;;tch;Turks And Caicos Creole English
;;kzv;Komyandaret
;;ssg;Seimat
;;brm;Barambu
;;apq;A-Pucikwar
;;nrn;Norn
;;ama;Amanayé
;;mxh;Mvuba
;;zng;Mang
;;atu;Reel
;;mrn;Cheke Holo
;;aae;Arbëreshë Albanian
;;kfu;Katkari
;;kqb;Kovai
;;wmi;Wamin
;;spg;Sian
;;kiy;Kirikiri
;;cch;Atsam
;;ruc;Ruuli
;;ypm;Phuma
;;pnp;Pancana
;;abi;Abidji
;;wkb;Kumbaran
;;mut;Western Muria
;;tvt;Tutsa Naga
;;ulk;Meriam
;;soz;Temi
;;grs;Gresi
;;prz;Providencia Sign Language
;;kcm;Gula (Central African Republic)
;;nmv;Ngamini
;;acx;Omani Arabic
;;ebk;Eastern Bontok
;;tae;Tariana
;;oss;Ossetian
;;ngs;Gvoko
;;ysc;Yassic
;;sdn;Gallurese Sardinian
;;yyz;Ayizi
;;bpw;Bo (Papua New Guinea)
;;tvy;Timor Pidgin
;;koh;Koyo
;;kwh;Kowiai
;;akb;Batak Angkola
;;tmd;Haruai
;;sga;Old Irish (to 900)
;;nuy;Nunggubuyu
;;bdj;Bai
;;bbj;Ghomálá'
;;nhr;Naro
;;mmu;Mmaala
;;aub;Alugu
;;xld;Lydian
;;dso;Desiya
;;bjg;Bidyogo
